,Model,Train Set Accuracy,Test Set Accuracy
0,Normal,0.9857218402961396,0.9401197604790419
1,without text normalization,0.9857218402961396,0.9341317365269461
2,without lemmatization,0.9836065573770492,0.9461077844311377
3,without stopword removal,0.9746166049709148,0.9311377245508982
