,Model,Train Set Accuracy,Test Set Accuracy
0,Normal,0.9598096245372819,0.9401197604790419
1,without text normalization,0.9576943416181914,0.9251497005988024
2,without lemmatization,0.9613960867265997,0.9311377245508982
3,without stopword removal,0.9513484928609202,0.9281437125748503
