,CLASSIFIER,Training Set Accuracy,Test Set Accuracy,Random Search Accuracy,Grid Search Accuracy
0,Logistic Regression,0.9857218402961396,0.9401197604790419,0.9587519830777367,0.9696
1,Multinomial NB,0.9539925965097832,0.9341317365269461,None,None
2,KNN,0.9598096245372819,0.9401197604790419,None,0.9477333333333333
3,SVM,0.9592808038075092,0.9401197604790419,0.9212057112638815,0.9498666666666666
